Player,Age,Height,Foot
Cheick Traore,30,1.75m,Right
Sergiu Pirvulescu,21,1.76m,Right
Diego Ferraresso,33,1.71m,Right
Darius Grosu,23,1.73m,Both
Dragos Albu,24,1.86m,Right
Rassambek Akhmatov,29,1.72m,Both
Dario Canadjija,31,1.76m,Right
David Tavares,26,1.82m,Left
James Lea Siliki,29,1.83m,Left
Luca Mihai,21,1.85m,Left
Aleksejs Saveljevs,26,1.84m,Right
Vlad Prejmerean,27,1.79m,N/A
Tudor Calin,24,1.87m,Right
Vito,27,1.80m,Left
Nicusor Brincoveanu,19,1.75m,Right
George Chircu,18,N/A,N/A
Gabriel Jalba,16,N/A,N/A
Alexandru Jipa,22,N/A,N/A
Cristian Benavente,31,1.72m,Both
Constantin Budescu,36,1.86m,Right
Daniel Iordache,18,N/A,N/A
Ion Gheorghe,25,1.74m,Right
Cristian Dumitru,23,1.73m,Right
Daniel Benzar,27,1.70m,Both
Alexandru Isfan,25,1.88m,Left
Andreas Mihaiu,26,1.79m,Right
Moha Keita,25,1.65m,Right
Alexandru Naziru,17,N/A,N/A
Ricardo Matos,25,1.83m,Right
Kevin Brobbey,31,1.85m,Right
Alexandru Stan,19,N/A,N/A
Dragos Tescan,25,1.80m,N/A
Nicolas Aprodu,18,N/A,N/A
Florin Buda,17,N/A,N/A
Denis Rusu,34,1.80m,Right
Stefan Krell,33,1.89m,Right
Stefan Georgescu,23,N/A,N/A
Filip Blazek,27,1.89m,Right
Ariel Lopez,30,1.83m,Right
Dmytro Pospelov,33,1.87m,Right
Marius Antoche,33,1.84m,Right
Ionut Dinu,27,N/A,Right
Gabriel Lazar,33,1.90m,Right
Daniel Serbanica,29,1.81m,Left
Laurentiu Vlasceanu,20,1.72m,Left
Constantin Toma,38,N/A,Left
Paolo Medina,26,1.73m,Right
Andrei Dorobantu,20,N/A,Right
Florinel Ibrian,31,1.79m,Left
Ovidiu Perianu,23,1.80m,Right
Ionut Coada,27,1.81m,Right
Rassambek Akhmatov,29,1.72m,Both
Stefan Pacionel,26,1.84m,Right
Adnan Aganovic,37,1.81m,Right
Mihaita Lemnaru,24,N/A,N/A
Denis Dragomir,20,N/A,N/A
Christ Afalna,27,1.87m,Both
Florin Purece,33,1.82m,Left
Petru Neagu,25,1.85m,Right
Marius Lupu,25,1.81m,N/A
Cristian Barbut,30,1.66m,Both
Sekou Camara,27,1.83m,Right
Jordan Gele,32,1.92m,Right
Filip Ilie,22,1.88m,Right
Dmytro Yusov,32,1.88m,Right
Jakub Vojtus,31,1.86m,N/A
Bachana Arabuli,31,1.88m,Left
